"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C6","3","105","","","","","~"
"C2","1","220uf","","","","","~"
"C4","1","330uf","","","","","~"
"C5","1","330uF","","","","","~"
"C7,C11","2","470pF","","","","","~"
"C8,C12","2","10uF","","","","","~"
"C9","1","47pf","","","","","~"
"C10","1","10uf","","","","","~"
"D1","1","SB5H90","","","","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","https://www.vishay.com/docs/88722/sb5h90.pdf"
"H1,H2","2","MountingHole_Pad","","Excluded from BOM","","","~"
"L1","1","47uH","","","","","~"
"R1","1","15k","","","","","~"
"R2","1","3.3k","","","","","~"
"R3,R5,R6,R7,R8,R9","6","10k","","","","","~"
"R4,R10","2","1k","","","","","~"
"U1","1","ESP-12E","","","","RF_Module:ESP-12E","http://wiki.ai-thinker.com/_media/esp8266/esp8266_series_modules_user_manual_v1.1.pdf"
"U2","1","XL4015","","","","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.xlsemi.net/datasheet/XL4015%20datasheet-English.pdf"
"U3","1","NCS20071XV","","","","Package_TO_SOT_SMD:SOT-553","https://www.onsemi.com/pub/Collateral/NCS20071-D.PDF"
"U4","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
